pid,licencia
91,auto
122,auto
616,moto
84,no es necesaria
768,auto
350,moto
21,auto
414,auto
555,no es necesaria
813,moto
467,moto
309,no es necesaria
644,vehiculo de carga
689,auto
34,auto
552,no es necesaria
383,no es necesaria
327,vehiculo de carga
577,no es necesaria
167,no es necesaria
479,auto
376,auto
728,no es necesaria
321,auto
753,moto
441,moto
652,auto
289,moto
758,auto
540,no es necesaria
432,auto
823,vehiculo de carga
444,vehiculo de carga
99,auto
525,auto
232,auto
183,no es necesaria
1,moto
103,vehiculo de carga
345,auto
670,moto
521,moto
44,auto
658,moto
403,no es necesaria
785,auto
318,auto
273,no es necesaria
93,vehiculo de carga
625,auto
536,moto
127,no es necesaria
168,moto
39,vehiculo de carga
599,auto
635,moto
269,vehiculo de carga
384,no es necesaria
535,moto
285,vehiculo de carga
763,moto
486,auto
385,moto
667,auto
358,auto
691,moto
0,moto
3,auto
344,auto
347,auto
455,auto
172,vehiculo de carga
520,no es necesaria
382,auto
11,auto
507,no es necesaria
200,auto
395,no es necesaria
24,auto
115,auto
503,vehiculo de carga
495,auto
235,auto
608,moto
567,auto
266,vehiculo de carga
353,auto
710,auto
15,moto
40,auto
185,auto
400,moto
671,auto
259,auto
394,moto
36,auto
274,moto
554,vehiculo de carga
464,moto
184,auto
777,no es necesaria
357,vehiculo de carga
677,auto
496,moto
679,auto
100,auto
227,moto
281,auto
340,auto
475,moto
323,moto
82,auto
142,vehiculo de carga
664,auto
568,auto
140,auto
393,auto
356,auto
335,auto
120,vehiculo de carga
797,vehiculo de carga
484,auto
198,auto
429,no es necesaria
485,auto
28,auto
96,vehiculo de carga
124,no es necesaria
517,auto
61,no es necesaria
425,vehiculo de carga
416,moto
524,moto
365,no es necesaria
296,auto
598,no es necesaria
149,auto
463,auto
566,auto
396,vehiculo de carga
194,moto
205,auto
158,auto
619,vehiculo de carga
595,auto
678,moto
220,auto
620,moto
377,auto
676,auto
298,auto
351,moto
435,moto
265,moto
581,auto
663,auto
366,no es necesaria
814,moto
452,auto
362,auto
283,no es necesaria
173,auto
803,moto
102,vehiculo de carga
442,no es necesaria
474,no es necesaria
516,no es necesaria
612,moto
2,moto
286,auto
697,no es necesaria
643,auto
284,auto
89,auto
126,auto
86,auto
410,auto
145,moto
674,auto
709,auto
773,auto
712,no es necesaria
706,no es necesaria
178,no es necesaria
109,auto
238,auto
210,auto
744,auto
380,auto
639,auto
790,no es necesaria
705,moto
59,auto
725,auto
299,moto
128,no es necesaria
141,auto
505,moto
409,no es necesaria
189,moto
154,vehiculo de carga
779,auto
693,no es necesaria
196,auto
818,auto
131,auto
315,no es necesaria
407,moto
53,auto
745,auto
631,auto
329,auto
629,auto
634,vehiculo de carga
422,auto
421,no es necesaria
26,no es necesaria
302,auto
148,no es necesaria
246,no es necesaria
390,auto
179,vehiculo de carga
487,auto
606,auto
219,moto
514,moto
361,vehiculo de carga
592,auto
156,no es necesaria
25,auto
579,auto
415,vehiculo de carga
460,auto
371,auto
794,auto
617,no es necesaria
694,no es necesaria
722,no es necesaria
669,auto
